Date,GSPC,IXIC,DJI,RUT,GDAXI,FTSE,FCHI,HSI,N225,BSESN,BVSP
2025-01-16,5937.33984375,19338.2890625,43153.12890625,2266.7900390625,20655.390625,8391.900390625,7634.740234375,19522.890625,38572.6015625,77042.8203125,121234.0
2025-01-17,5996.66015625,19630.19921875,43487.828125,2275.8798828125,20903.390625,8505.2001953125,7709.75,19584.060546875,38451.4609375,76619.328125,122350.0
2025-01-20,5996.66015625,19630.19921875,43487.828125,2275.8798828125,20990.310546875,8520.5,7733.5,19925.810546875,38902.5,77073.4375,122543.0
2025-01-21,6049.240234375,19756.779296875,44025.80859375,2317.969970703125,21042.0,8548.2998046875,7770.9501953125,20106.55078125,39027.98046875,75838.359375,123338.0
2025-01-22,6086.3701171875,20009.33984375,44156.73046875,2303.719970703125,21254.26953125,8545.099609375,7837.39990234375,19778.76953125,39646.25,76404.9921875,122972.0
2025-01-23,6118.7099609375,20053.6796875,44565.0703125,2314.60009765625,21411.529296875,8565.2001953125,7892.60986328125,19700.560546875,39958.87109375,76520.3828125,122483.0
2025-01-24,6101.240234375,19954.30078125,44424.25,2307.739990234375,21394.9296875,8502.400390625,7927.6201171875,20066.189453125,39931.98046875,76190.4609375,122447.0
2025-01-27,6012.27978515625,19341.830078125,44713.578125,2284.02001953125,21282.1796875,8503.7001953125,7906.580078125,20197.76953125,39565.80078125,75366.171875,124862.0
2025-01-28,6067.7001953125,19733.58984375,44850.3515625,2288.860107421875,21430.580078125,8533.900390625,7897.3701171875,20225.109375,39016.87109375,75901.40625,124056.0
2025-01-29,6039.31005859375,19632.3203125,44713.51953125,2283.10009765625,21637.529296875,8557.7998046875,7872.47998046875,20225.109375,39414.78125,76532.9609375,123432.0
2025-01-30,6071.169921875,19681.75,44882.12890625,2307.449951171875,21727.19921875,8646.900390625,7941.64013671875,20225.109375,39513.96875,76759.8125,126913.0
2025-01-31,6040.52978515625,19627.439453125,44544.66015625,2287.68994140625,21732.05078125,8674.0,7950.169921875,20225.109375,39572.48828125,77500.5703125,126135.0
2025-02-03,5994.56982421875,19391.9609375,44421.91015625,2258.419921875,21428.240234375,8583.599609375,7854.919921875,20217.259765625,38520.08984375,77186.7421875,125970.0
2025-02-04,6037.8798828125,19654.01953125,44556.0390625,2290.2099609375,21505.69921875,8570.7998046875,7906.39990234375,20789.9609375,38798.37109375,78583.8125,125147.0
2025-02-05,6061.47998046875,19692.330078125,44873.28125,2316.22998046875,21585.9296875,8623.2998046875,7891.68017578125,20597.08984375,38831.48046875,78271.28125,125534.0
2025-02-06,6083.56982421875,19791.990234375,44747.62890625,2307.1201171875,21902.419921875,8727.2998046875,8007.6201171875,20891.619140625,39066.53125,78058.15625,126225.0
2025-02-07,6025.990234375,19523.400390625,44303.3984375,2279.7099609375,21787.0,8700.5,7973.02978515625,21133.5390625,38787.01953125,77860.1875,124619.0
2025-02-10,6066.43994140625,19714.26953125,44470.41015625,2287.93994140625,21911.740234375,8767.7998046875,8006.22021484375,21521.98046875,38801.171875,77311.796875,125572.0
2025-02-11,6068.5,19643.859375,44593.6484375,2275.699951171875,22037.830078125,8777.400390625,8028.89990234375,21294.859375,38801.171875,76293.6015625,126522.0
2025-02-12,6051.97021484375,19649.94921875,44368.55859375,2255.889892578125,22148.029296875,8807.400390625,8042.18994140625,21857.919921875,38963.69921875,76171.078125,124380.0
2025-02-13,6115.06982421875,19945.640625,44711.4296875,2282.179931640625,22612.01953125,8764.7001953125,8164.10986328125,21814.369140625,39461.46875,76138.96875,124850.0
2025-02-14,6114.6298828125,20026.76953125,44546.078125,2279.97998046875,22513.419921875,8732.5,8178.5400390625,22620.330078125,39149.4296875,75939.2109375,128219.0
2025-02-17,6114.6298828125,20026.76953125,44546.078125,2279.97998046875,22798.08984375,8768.0,8189.1298828125,22616.23046875,39174.25,75996.859375,128869.0
2025-02-18,6129.580078125,20041.259765625,44556.33984375,2290.35009765625,22844.5,8766.7001953125,8206.5595703125,22976.810546875,39270.3984375,75967.390625,128532.0
2025-02-19,6144.14990234375,20056.25,44627.58984375,2282.4599609375,22433.630859375,8712.5,8110.5400390625,22944.240234375,39164.609375,75939.1796875,127309.0
2025-02-20,6117.52001953125,19962.359375,44176.6484375,2261.739990234375,22314.650390625,8663.0,8122.580078125,22576.98046875,38678.0390625,75735.9609375,127601.0
2025-02-21,6013.1298828125,19524.009765625,43428.01953125,2195.35009765625,22287.560546875,8659.400390625,8154.509765625,23477.919921875,38776.94140625,75311.0625,127128.0
